a,b,aggr
528,134,547
557,138,1120
646,113,758
614,159,653
522,133,1063
246,62,376
332,191,141
342,163,429
544,150,866
791,162,171
712,168,196
552,192,324
380,181,225
457,157,686
511,124,750
234,169,274
191,124,123
627,124,818
593,87,597
271,79,264
181,130,212
708,149,482
740,141,324
675,65,175
755,131,227
696,149,203
337,174,140
681,121,309
439,141,612
515,138,811
580,98,733
634,211,157
212,115,208
344,130,478
523,138,321
625,52,338
497,135,841
497,198,94
337,129,379
558,105,593
312,37,94
707,157,216
456,155,564
772,81,93
673,104,685
674,111,476
533,75,509
522,106,947
601,109,697
303,117,206
467,143,1070
784,78,93
288,151,289
622,183,221
675,83,353
489,181,352
522,125,570
623,142,705
317,189,117
535,105,774
458,78,395
743,112,180
202,140,188
859,88,171
523,127,601
365,99,568
402,112,774
202,191,113
614,151,448
972,153,41
408,149,1015
602,177,545
576,77,255
682,85,504
563,118,829
525,105,672
751,91,247
543,184,397
523,111,850
517,65,287
554,150,1354
686,126,336
419,161,368
681,143,741
569,152,547
622,116,695
532,95,620
389,58,123
490,105,607
620,93,583
575,214,46
422,206,143
499,102,663
908,92,65
668,164,565
781,145,207
306,142,244
423,115,334
511,40,190
226,102,161
330,131,258
395,132,833
429,86,742
298,160,529
494,144,770
398,105,633
748,57,127
371,136,586
421,154,575
507,158,993
791,160,189
388,148,545
657,138,595
449,46,193
431,108,874
599,69,155
789,133,203
588,193,232
629,169,341
634,117,886
192,170,105
710,208,90
179,145,146
530,75,635
548,113,928
293,170,86
456,47,81
338,103,436
338,76,258
683,157,338
910,51,63
274,160,148
558,42,130
313,135,365
232,199,88
668,147,458
465,46,249
381,120,728
587,174,430
628,142,497
428,77,625
872,119,149
505,136,858
485,223,86
402,90,602
333,86,217
460,145,734
656,164,818
426,62,122
649,135,717
443,137,369
389,122,708
758,162,241
679,112,431
612,99,383
708,130,567
361,115,416
489,93,614
579,127,796
519,176,693
596,106,692
523,112,490
543,127,983
745,101,185
651,176,409
393,139,611
259,172,291
442,66,305
298,196,124
562,115,493
136,107,79
677,115,446
610,133,981
372,138,531
386,61,336
230,155,170
478,83,354
455,81,618
549,149,785
519,134,636
561,156,770
543,164,581
329,91,151
407,141,834
697,96,399
964,63,74
507,21,24
277,145,409
119,121,171
649,72,315
432,163,770
469,126,791
713,101,471
428,139,885
376,157,722
588,106,717
750,191,189
530,16,70
445,144,463
544,100,749
592,145,627
542,63,173
504,92,479
463,28,74
476,140,454
766,130,509
534,125,839
509,168,703
672,124,331
978,141,49
649,99,576
662,80,357
666,92,393
437,134,880
526,183,525
516,149,480
755,135,296
598,208,304
615,184,283
511,257,40
657,110,421
666,70,195
822,114,408
227,78,51
809,216,52
534,134,899
617,54,109
450,121,565
670,122,601
701,125,401
648,51,230
327,82,235
424,205,257
658,145,749
612,137,454
422,132,879
697,180,128
258,109,278
295,85,220
414,132,638
740,99,404
498,186,301
525,171,391
353,127,632
500,139,875
470,116,563
531,216,205
782,156,251
173,92,56
630,137,708
596,138,565
421,201,194
374,165,358
722,188,254
690,193,62
584,138,822
488,153,777
378,146,777
291,56,106
621,224,19
504,106,801
364,165,487
207,128,180
480,215,85
570,137,740
707,184,99
171,105,153
212,106,196
623,134,671
515,86,822
531,115,748
566,102,630
745,95,289
880,174,44
647,102,300
445,141,616
347,144,466
407,60,255
530,168,559
66,141,37
724,143,310
599,136,670
553,69,257
271,57,115
590,180,422
341,103,485
517,125,518
420,181,281
415,145,712
572,166,714
794,102,358
360,153,476
541,92,619
418,239,41
771,144,125
462,136,738
468,133,638
506,69,511
550,185,204
529,164,533
530,159,761
379,86,311
799,111,200
589,157,778
298,128,701
505,126,636
604,108,747
944,110,81
498,177,509
499,95,432
506,148,1255
459,163,420
521,158,600
310,167,271
668,69,321
199,188,142
863,112,27
496,95,488
525,151,543
531,125,618
712,177,166
398,189,282
657,127,809
752,111,437
714,72,49
754,92,206
568,187,325
725,148,328
377,149,561
321,70,31
534,41,125
301,103,335
326,101,210
446,168,487
541,140,850
559,81,433
430,173,523
519,151,722
756,163,144
315,56,115
691,125,586
776,117,204
717,84,340
571,72,291
681,161,647
622,176,598
196,152,94
602,94,339
290,162,397
447,145,644
495,145,910
378,180,327
833,172,83
440,158,665
843,95,175
532,112,876
471,237,3
714,37,171
573,105,505
635,168,322
540,109,671
666,82,299
367,142,592
647,150,540
675,148,528
504,129,877
388,199,134
673,136,576
347,152,313
283,107,417
395,88,486
576,173,572
313,98,340
773,118,229
459,47,71
628,66,433
382,124,503
494,164,719
229,137,115
468,211,122
435,124,855
631,156,521
499,114,986
541,149,544
319,169,416
78,150,24
556,86,511
633,91,617
336,165,507
919,32,24
635,206,111
466,117,589
809,169,154
596,127,558
556,64,294
527,198,249
225,89,154
542,84,510
611,69,523
512,100,1079
191,192,106
343,136,489
417,142,756
680,165,514
839,203,166
410,48,137
364,65,345
222,104,163
685,125,621
728,160,312
623,143,686
399,158,600
790,191,83
497,111,762
372,177,243
528,198,243
762,130,197
619,129,494
544,85,461
388,147,494
672,20,59
815,120,113
869,98,159
399,139,623
285,138,235
523,130,726
401,136,586
481,153,533
269,61,139
519,131,693
640,186,287
225,66,97
628,271,46
471,94,336
898,65,32
800,43,181
670,134,564
441,84,421
366,175,394
407,156,733
421,107,343
563,138,472
564,140,662
472,152,747
862,145,121
597,132,808
488,148,866
500,50,228
320,88,366
494,110,635
489,195,346
749,117,333
643,135,463
651,212,66
719,25,103
744,107,468
745,52,35
405,107,738
603,126,858
431,193,221
889,144,180
866,123,117
508,99,695
476,152,771
369,203,259
278,107,147
1003,91,36
583,134,861
557,134,1108
486,151,1109
360,108,661
442,198,88
459,124,738
463,97,638
393,185,205
581,141,756
642,61,226
508,95,479
263,141,437
534,130,745
567,201,172
429,85,368
468,132,743
497,171,604
446,47,203
466,167,474
546,27,46
305,111,436
354,147,923
453,146,758
583,187,312
376,168,352
751,54,31
380,123,549
442,86,525
358,145,401
409,160,641
773,168,122
502,179,299
375,141,571
345,191,59
386,179,206
272,166,303
612,96,531
519,127,922
687,125,572
534,150,792
460,199,145
454,39,152
706,130,596
552,174,725
439,212,97
654,114,691
751,77,172
607,166,569
294,131,384
381,130,680
488,166,419
585,91,389
445,106,779
443,151,770
422,141,886
559,119,669
748,165,69
674,173,272
407,149,566
428,67,262
519,65,287
818,136,180
961,94,46
473,182,429
572,159,549
749,119,383
828,146,166
612,155,731
154,142,93
763,182,269
495,80,578
464,74,213
499,122,882
887,146,190
404,214,166
438,149,754
527,167,693
646,210,156
577,132,954
393,119,798
541,212,92
526,87,664
773,189,114
341,113,355
363,149,558
611,189,130
457,142,853
540,151,806
456,84,719
535,129,1098
454,103,468
553,68,318
798,121,267
587,94,697
383,157,558
572,120,489
608,170,452
448,79,360
676,139,551
697,185,359
514,36,127
623,149,654
435,170,503
417,177,445
727,171,327
370,75,482
568,143,752
375,15,79
902,153,74
615,173,236
408,65,381
731,212,97
579,98,688
426,95,524
649,144,539
264,144,277
847,181,90
308,129,590
507,98,642
602,104,564
483,162,955
814,110,329
923,163,38
356,122,745
747,164,531
462,146,647
661,78,508
496,45,261
604,133,1023
699,141,408
491,90,738
655,257,38
508,155,757
466,152,884
498,139,808
509,146,426
671,142,651
469,109,637
817,169,32
503,142,784
441,112,588
590,238,89
426,105,655
509,163,554
341,76,330
337,124,331
470,128,575
442,177,489
629,111,893
413,122,375
495,132,621
442,57,124
563,98,636
654,112,480
399,135,1111
626,140,455
687,196,155
458,212,164
326,97,147
510,203,104
629,172,363
394,155,808
588,134,819
462,139,773
467,63,424
803,114,215
486,126,815
239,89,128
467,80,359
71,170,58
617,120,738
404,124,573
555,151,685
554,178,153
395,89,522
790,149,173
485,142,692
336,137,313
518,99,737
618,104,705
497,129,1029
171,148,204
499,144,541
522,157,678
434,117,522
710,131,336
500,110,650
559,106,810
216,133,115
523,158,924
427,93,448
612,153,853
558,201,98
329,130,414
359,154,428
570,204,141
446,139,798
477,104,755
613,101,785
150,152,173
650,170,480
713,96,137
327,223,71
621,67,346
369,120,454
348,236,104
689,139,403
577,109,880
340,49,291
394,105,483
631,168,718
556,100,574
764,210,103
535,108,644
429,184,403
499,107,318
439,123,543
521,127,515
478,125,810
427,71,430
360,90,438
807,146,80
281,69,126
740,76,204
439,157,608
319,174,237
442,174,440
901,90,83
691,73,70
485,99,502
616,148,481
654,55,100
276,45,176
456,112,623
587,106,816
808,177,45
611,179,531
